Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Date,Time,mental_health_friendly_score
27,Male,Canada,No,Yes,Yes,Sometimes,1,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,2014-08-27,11:43:07,1
18,Male,Netherlands,No,No,No,Often,2,No,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,2014-08-27,11:43:10,0
30,Male,United States,No,No,Yes,Sometimes,3,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,2014-08-27,11:43:22,0
38,Female,United States,No,Yes,Yes,Sometimes,3,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,2014-08-27,11:43:36,1
28,Male,United Kingdom,No,No,No,,3,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,2014-08-27,11:43:45,0
34,Male,United States,No,No,No,,2,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,2014-08-27,11:43:48,0
26,Male,Canada,Yes,No,No,Sometimes,1,No,Yes,No,Yes,Yes,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,2014-08-27,11:43:56,1
30,Male,United States,No,Yes,Yes,Rarely,3,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,11:44:43,1
22,Male,United States,No,Yes,Yes,Often,2,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,2014-08-27,11:44:55,1
33,Male,United States,No,No,No,,4,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,2014-08-27,11:45:32,0
31,Male,United States,No,No,No,,4,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,2014-08-27,11:45:33,0
32,Male,United States,No,No,No,Never,1,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,11:45:51,0
28,Male,Switzerland,No,No,No,,4,No,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,2014-08-27,11:46:36,0
27,Non-binary/Other,United States,No,Yes,Yes,Rarely,3,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,2014-08-27,11:46:49,1
32,Non-binary/Other,United States,No,Yes,No,,2,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,2014-08-27,11:46:55,0
24,Male,United States,No,Yes,Yes,Sometimes,3,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,2014-08-27,11:47:10,0
26,Male,United States,No,No,No,,3,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,2014-08-27,11:47:33,1
33,Male,Canada,No,Yes,Yes,Often,2,Yes,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,2014-08-27,11:47:56,0
44,Male,United States,No,Yes,Yes,Sometimes,6,No,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,2014-08-27,11:48:57,1
26,Female,Poland,No,No,Yes,Sometimes,3,Yes,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,2014-08-27,11:49:51,1
27,Male,United Kingdom,No,No,No,Never,4,No,Yes,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,11:50:27,1
26,Male,France,No,No,No,,3,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes,2014-08-27,11:50:28,0
35,Male,Canada,No,No,No,Sometimes,2,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,2014-08-27,11:50:46,0
40,Male,United States,No,Yes,No,Sometimes,6,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,2014-08-27,11:51:07,1
23,Female,Australia,No,Yes,Yes,Often,1,Yes,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,2014-08-27,11:51:34,0
36,Male,United States,No,No,No,Sometimes,4,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,2014-08-27,11:52:07,1
31,Female,United States,No,No,No,,3,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,2014-08-27,11:52:41,0
34,Male,United States,Yes,No,No,Rarely,1,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,2014-08-27,11:52:44,0
28,Male,France,No,No,No,Never,3,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,2014-08-27,11:53:05,0
34,Male,Canada,No,No,No,Never,2,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,11:53:25,0
23,Trans Female,United States,No,No,No,Rarely,6,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,2014-08-27,11:54:27,1
38,Male,United Kingdom,No,No,No,,3,No,Yes,No,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,2014-08-27,11:56:17,1
33,Male,United States,No,No,No,Never,6,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,2014-08-27,11:56:29,0
19,Male,United Kingdom,No,No,No,,1,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,2014-08-27,11:57:30,1
25,Male,United States,No,No,No,,6,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,2014-08-27,11:57:33,1
31,Male,United States,Yes,Yes,No,Sometimes,1,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,11:57:54,1
32,Male,United States,No,Yes,Yes,Sometimes,3,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,2014-08-27,11:59:31,0
28,Male,Germany,No,No,No,Never,2,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,2014-08-27,12:00:02,0
38,Male,United States,No,Yes,No,Sometimes,4,Yes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,2014-08-27,12:01:50,1
23,Male,United Kingdom,No,No,No,Never,3,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,2014-08-27,12:02:40,1
30,Male,Canada,No,No,No,Never,3,No,No,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No,2014-08-27,12:02:52,0
27,Female,United States,Yes,No,Yes,Often,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,2014-08-27,12:03:30,1
33,Male,United States,No,Yes,No,Never,6,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,2014-08-27,12:05:13,0
31,Male,United States,No,No,No,,3,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,2014-08-27,12:05:37,0
39,Male,United Kingdom,Yes,No,Yes,Often,2,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,2014-08-27,12:07:08,0
34,Female,United States,No,Yes,Yes,Rarely,5,Yes,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,2014-08-27,12:10:43,1
29,Female,United States,No,No,Yes,Sometimes,3,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,2014-08-27,12:11:00,1
32,Male,United States,No,No,No,,5,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,2014-08-27,12:11:07,0
31,Male,United States,No,No,No,Never,5,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,2014-08-27,12:12:47,1
40,Male,United States,No,No,Yes,Sometimes,3,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,2014-08-27,12:13:30,1
34,Male,United States,No,No,No,,3,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No,2014-08-27,12:14:13,0
18,Non-binary/Other,Russia,No,No,No,,3,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,2014-08-27,12:15:11,1
25,Female,Canada,No,No,Yes,Sometimes,3,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,2014-08-27,12:15:19,1
29,Male,United States,No,No,No,Never,3,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No,2014-08-27,12:15:30,0
24,Male,United States,No,Yes,No,Rarely,3,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,2014-08-27,12:16:21,0
31,Male,Mexico,No,Yes,Yes,Sometimes,2,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No,2014-08-27,12:17:01,0
33,Male,United States,No,No,Yes,Sometimes,2,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,2014-08-27,12:18:02,1
30,Male,United States,No,No,Yes,Often,1,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,12:18:04,1
26,Female,Canada,No,Yes,Yes,Sometimes,3,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,2014-08-27,12:18:14,1
44,Female,United States,No,No,No,Never,4,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,2014-08-27,12:18:38,1
25,Male,United States,No,Yes,No,,3,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:19:52,0
33,Male,United States,No,Yes,Yes,Sometimes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,2014-08-27,12:20:10,1
29,Male,United States,No,No,No,Never,6,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:22:55,1
35,Male,United States,No,Yes,No,Rarely,2,No,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:23:48,1
35,Male,United States,No,Yes,Yes,Sometimes,3,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,2014-08-27,12:23:59,0
28,Male,Brazil,No,Yes,Yes,Rarely,2,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes,2014-08-27,12:25:09,0
34,Male,United States,No,Yes,No,Never,2,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,2014-08-27,12:28:12,1
32,Male,United States,No,No,Yes,Sometimes,3,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,2014-08-27,12:28:16,1
22,Male,United States,No,No,Yes,Sometimes,5,No,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No,2014-08-27,12:29:25,1
28,Male,United States,No,No,Yes,Sometimes,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,2014-08-27,12:31:02,1
45,Male,United States,No,Yes,Yes,Rarely,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,2014-08-27,12:31:03,1
32,Male,United States,No,No,No,Never,4,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,2014-08-27,12:31:14,1
28,Male,United States,No,No,No,,6,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,2014-08-27,12:31:28,0
26,Male,United Kingdom,No,No,No,Never,2,No,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes,2014-08-27,12:31:34,0
21,Male,United Kingdom,Yes,No,No,Often,1,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,2014-08-27,12:31:41,1
27,Male,Canada,No,No,No,Rarely,2,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:31:41,1
18,Male,United States,No,No,Yes,Rarely,1,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No,2014-08-27,12:31:43,1
35,Male,United States,No,No,No,,3,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,2014-08-27,12:32:24,0
29,Male,United States,No,No,No,Never,6,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No,2014-08-27,12:32:59,1
25,Male,United States,No,No,No,,3,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:33:00,0
33,Male,United States,No,Yes,Yes,Sometimes,2,Yes,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,2014-08-27,12:33:23,1
36,Male,United States,No,No,No,Often,2,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,2014-08-27,12:33:36,1
27,Male,Canada,No,No,Yes,Never,4,No,No,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,2014-08-27,12:33:56,1
27,Male,United States,No,Yes,No,Never,5,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No,2014-08-27,12:34:11,1
27,Male,United Kingdom,No,No,No,,2,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,2014-08-27,12:34:13,0
32,Male,United States,No,No,Yes,Rarely,4,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No,2014-08-27,12:34:35,1
31,Male,United Kingdom,No,Yes,No,Sometimes,2,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,2014-08-27,12:34:48,0
19,Male,Slovenia,No,No,Yes,Sometimes,2,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No,2014-08-27,12:34:51,0
33,Male,United States,No,Yes,Yes,Sometimes,6,No,Yes,Yes,Yes,No,No,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,2014-08-27,12:34:57,1
32,Male,United States,No,No,No,Rarely,1,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No,2014-08-27,12:35:23,1
27,Male,United States,No,No,No,Never,3,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,2014-08-27,12:36:03,0
38,Male,Costa Rica,No,No,No,,3,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,2014-08-27,12:36:18,1
24,Male,Canada,No,No,Yes,Never,3,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,2014-08-27,12:36:53,0
39,Male,United Kingdom,No,No,No,Never,3,No,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,2014-08-27,12:37:09,0
28,Male,United Kingdom,No,No,No,Never,2,No,Yes,Don't know,No,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,2014-08-27,12:37:26,1
39,Male,United States,No,No,Yes,Often,6,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,2014-08-27,12:37:31,1
29,Female,United States,No,No,No,,2,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,2014-08-27,12:37:50,0
22,Male,Austria,No,No,No,,2,Yes,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,2014-08-27,12:37:50,0
38,Male,United States,No,Yes,Yes,Sometimes,4,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,12:38:11,0
37,Male,United Kingdom,Yes,No,Yes,Sometimes,6,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,2014-08-27,12:38:18,1
35,Male,United States,No,No,No,Never,3,Yes,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,2014-08-27,12:38:25,0
30,Female,United States,No,Yes,No,,6,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,2014-08-27,12:39:18,0
37,Male,United States,No,Yes,Yes,Rarely,4,No,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,2014-08-27,12:39:21,1
